Device Type, Method, Vector Size, Compute Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Compute Speedup, Total Speedup, Number of GPU Blocks, Number of Threads per Block, Completion Status
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000301184, 0.00447942, 2.39057e+10, 1.60735e+09, 52.1575, 3.50692, 511, 512, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000213824, 0.00437331, 3.36726e+10, 1.64635e+09, 73.467, 3.59201, 511, 480, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000207136, 0.00439891, 3.47598e+10, 1.63677e+09, 75.8391, 3.57111, 511, 480, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000312768, 0.00449952, 2.30203e+10, 1.60017e+09, 50.2257, 3.49126, 511, 480, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000218272, 0.00437354, 3.29864e+10, 1.64627e+09, 71.9698, 3.59183, 511, 448, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000211872, 0.00436672, 3.39828e+10, 1.64883e+09, 74.1438, 3.59744, 511, 448, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000307072, 0.00448003, 2.34473e+10, 1.60713e+09, 51.1574, 3.50645, 511, 448, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000227776, 0.00439834, 3.161e+10, 1.63698e+09, 68.9669, 3.57158, 511, 416, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000220992, 0.004392, 3.25804e+10, 1.63934e+09, 71.084, 3.57673, 511, 416, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000301856, 0.00449267, 2.38524e+10, 1.60261e+09, 52.0414, 3.49658, 511, 416, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.0002056, 0.00437354, 3.50195e+10, 1.64627e+09, 76.4056, 3.59183, 511, 384, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.00019904, 0.00435837, 3.61736e+10, 1.65199e+09, 78.9238, 3.60433, 511, 384, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000312704, 0.00449942, 2.3025e+10, 1.6002e+09, 50.236, 3.49134, 511, 384, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000213664, 0.00438275, 3.36978e+10, 1.6428e+09, 73.522, 3.58428, 511, 352, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000206976, 0.00437197, 3.47866e+10, 1.64686e+09, 75.8977, 3.59312, 511, 352, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000310816, 0.0045135, 2.31648e+10, 1.59521e+09, 50.5412, 3.48044, 511, 352, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000204352, 0.00435002, 3.52333e+10, 1.65517e+09, 76.8723, 3.61125, 511, 320, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000197568, 0.00435955, 3.64431e+10, 1.65155e+09, 79.5119, 3.60335, 511, 320, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000311712, 0.00449222, 2.30982e+10, 1.60277e+09, 50.3959, 3.49693, 511, 320, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.00020192, 0.00438381, 3.56577e+10, 1.64241e+09, 77.7981, 3.58341, 511, 288, Complete
