Device Type, Method, Vector Size, Compute Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Compute Speedup, Total Speedup, Number of GPU Blocks, Number of Threads per Block, Completion Status
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000789824, 0.0154824, 3.41848e+10, 1.74392e+09, 74.7597, 3.81381, 255, 384, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000626496, 0.0152405, 4.30968e+10, 1.77159e+09, 94.2496, 3.87434, 255, 256, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000619232, 0.0152133, 4.36024e+10, 1.77476e+09, 95.3552, 3.88126, 255, 256, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000702208, 0.0153041, 3.84501e+10, 1.76423e+09, 84.0876, 3.85824, 255, 256, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000768896, 0.015396, 3.51153e+10, 1.7537e+09, 76.7945, 3.83521, 255, 128, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000773184, 0.0153672, 3.49205e+10, 1.75699e+09, 76.3686, 3.8424, 255, 128, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000857856, 0.0154864, 3.14738e+10, 1.74347e+09, 68.8309, 3.81284, 255, 128, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000651392, 0.0152389, 4.14497e+10, 1.77178e+09, 90.6474, 3.87474, 127, 1024, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000646208, 0.0152628, 4.17822e+10, 1.76901e+09, 91.3746, 3.8687, 127, 1024, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000736576, 0.0153317, 3.66561e+10, 1.76105e+09, 80.1642, 3.85129, 127, 1024, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000705088, 0.0153432, 3.82931e+10, 1.75973e+09, 83.7442, 3.84841, 127, 896, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000698784, 0.0153202, 3.86385e+10, 1.76238e+09, 84.4996, 3.85419, 127, 896, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000819136, 0.0160443, 3.29616e+10, 1.68284e+09, 72.0845, 3.68024, 127, 896, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000796032, 0.0154363, 3.39182e+10, 1.74912e+09, 74.1767, 3.8252, 127, 768, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000785824, 0.0154141, 3.43588e+10, 1.75164e+09, 75.1402, 3.83071, 127, 768, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000893728, 0.0155048, 3.02105e+10, 1.7414e+09, 66.0682, 3.8083, 127, 768, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000660896, 0.0152337, 4.08536e+10, 1.77239e+09, 89.3439, 3.87609, 127, 640, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.00065216, 0.0152515, 4.14009e+10, 1.77032e+09, 90.5407, 3.87155, 127, 640, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000734464, 0.0153527, 3.67615e+10, 1.75865e+09, 80.3947, 3.84603, 127, 640, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000627232, 0.0151966, 4.30463e+10, 1.77671e+09, 94.139, 3.88554, 127, 512, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.00063248, 0.0152656, 4.26891e+10, 1.76869e+09, 93.3579, 3.86799, 127, 512, Complete
