Device Type, Method, Vector Size, Compute Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Compute Speedup, Total Speedup, Number of GPU Blocks, Number of Threads per Block, Completion Status,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00085136,0.0201605,4.23E+10,1.79E+09,92.0985,3.88923,63,896, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000859712,0.0207268,4.19E+10,1.74E+09,91.2038,3.78299,127,896, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000828992,0.0201985,4.34E+10,1.78E+09,94.5835,3.88193,255,896, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000872032,0.0202327,4.13E+10,1.78E+09,89.9153,3.87537,511,896, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000920928,0.0207414,3.91E+10,1.74E+09,85.1413,3.78031,1023,896, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.0130026,0.0323329,2.77E+09,1.11E+09,6.03027,2.42506,1,1024, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.0043728,0.0236844,8.23E+09,1.52E+09,17.9311,3.31058,3,1024, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00192182,0.0212102,1.87E+10,1.70E+09,40.7993,3.69675,7,1024, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00103312,0.0203601,3.48E+10,1.77E+09,75.8953,3.85111,15,1024, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000992576,0.0203708,3.63E+10,1.77E+09,78.9955,3.84909,31,1024, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00078016,0.0201139,4.61E+10,1.79E+09,100.504,3.89826,63,1024, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000795904,0.0200941,4.52E+10,1.79E+09,98.5157,3.90209,127,1024, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000782688,0.0205384,4.60E+10,1.75E+09,100.179,3.81768,255,1024, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00081888,0.0201347,4.40E+10,1.79E+09,95.7515,3.89422,511,1024, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000874208,0.0201993,4.12E+10,1.78E+09,89.6915,3.88177,1023,1024, Complete,,,,,,,,,,,
