Device Type, Method, Vector Size, Compute Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Number of GPU Blocks, Number of Threads per Block, Completion Status
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000178784, 0.000582912, 5.03401e+09, 1.54397e+09, 63, 128, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.6656e-05, 0.000441024, 1.92901e+10, 2.04071e+09, 31, 1024, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.288e-05, 0.000469952, 2.09888e+10, 1.91509e+09, 31, 1024, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000147008, 0.000550176, 6.12212e+09, 1.63584e+09, 31, 1024, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.8736e-05, 0.00044624, 1.84668e+10, 2.01685e+09, 31, 896, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.3008e-05, 0.000438272, 2.09263e+10, 2.05352e+09, 31, 896, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000150016, 0.00055904, 5.99936e+09, 1.6099e+09, 31, 896, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 5.2448e-05, 0.00045088, 1.71599e+10, 1.9961e+09, 31, 768, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.6784e-05, 0.000447872, 1.92373e+10, 2.0095e+09, 31, 768, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.00014944, 0.000553024, 6.02248e+09, 1.62742e+09, 31, 768, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.0192e-05, 0.000444512, 2.23925e+10, 2.02469e+09, 31, 640, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 3.376e-05, 0.000431648, 2.66588e+10, 2.08503e+09, 31, 640, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000155968, 0.00056432, 5.77041e+09, 1.59484e+09, 31, 640, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.3584e-05, 0.00044256, 2.06498e+10, 2.03362e+09, 31, 512, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 3.7472e-05, 0.000437888, 2.40179e+10, 2.05532e+09, 31, 512, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.00015968, 0.00056096, 5.63627e+09, 1.60439e+09, 31, 512, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.9568e-05, 0.000446432, 1.81569e+10, 2.01598e+09, 31, 384, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.3552e-05, 0.000441664, 2.0665e+10, 2.03775e+09, 31, 384, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000163552, 0.000784704, 5.50284e+09, 1.14693e+09, 31, 384, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 6.2528e-05, 0.000466912, 1.43936e+10, 1.92756e+09, 31, 256, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 5.6384e-05, 0.000536832, 1.5962e+10, 1.6765e+09, 31, 256, Complete
