Device Type, Vector Size, Compute Time (s), Data Transfer Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Number of GPU Blocks, Number of Threads per Block, Completion Status
NVS 5400M, 18900000, 0.0424832, 0.0623545, 0.104838, 4.44882e+008, 1.80279e+008, 127, 16, Complete
NVS 5400M, 18900000, 0.0848599, 0.0592359, 0.144096, 2.2272e+008, 1.31163e+008, 127, 8, Complete
NVS 5400M, 18900000, 0.168854, 0.0632952, 0.232149, 1.11931e+008, 8.14131e+007, 127, 4, Complete
NVS 5400M, 18900000, 0.00630419, 0.0629963, 0.0693005, 2.99801e+009, 2.72725e+008, 63, 1024, Complete
NVS 5400M, 18900000, 0.00517258, 0.0618822, 0.0670548, 3.65389e+009, 2.81859e+008, 63, 512, Complete
NVS 5400M, 18900000, 0.00524173, 0.0618283, 0.06707, 3.60568e+009, 2.81795e+008, 63, 256, Complete
NVS 5400M, 18900000, 0.00579923, 0.0621088, 0.067908, 3.25905e+009, 2.78318e+008, 63, 128, Complete
NVS 5400M, 18900000, 0.0107313, 0.0621601, 0.0728914, 1.7612e+009, 2.5929e+008, 63, 64, Complete
NVS 5400M, 18900000, 0.0213207, 0.0647714, 0.086092, 8.86464e+008, 2.19533e+008, 63, 32, Complete
NVS 5400M, 18900000, 0.0427732, 0.0618219, 0.104595, 4.41865e+008, 1.80697e+008, 63, 16, Complete
NVS 5400M, 18900000, 0.0855895, 0.0617939, 0.147383, 2.20821e+008, 1.28237e+008, 63, 8, Complete
NVS 5400M, 18900000, 0.170102, 0.0625935, 0.232696, 1.1111e+008, 8.12219e+007, 63, 4, Complete
NVS 5400M, 18900000, 0.00610397, 0.0622302, 0.0683342, 3.09635e+009, 2.76582e+008, 31, 1024, Complete
NVS 5400M, 18900000, 0.00531456, 0.0618016, 0.0671162, 3.55627e+009, 2.81601e+008, 31, 512, Complete
NVS 5400M, 18900000, 0.00524176, 0.0620605, 0.0673023, 3.60566e+009, 2.80823e+008, 31, 256, Complete
NVS 5400M, 18900000, 0.00644157, 0.0617191, 0.0681607, 2.93407e+009, 2.77286e+008, 31, 128, Complete
NVS 5400M, 18900000, 0.0121686, 0.061812, 0.0739807, 1.55317e+009, 2.55472e+008, 31, 64, Complete
NVS 5400M, 18900000, 0.0237467, 0.0619323, 0.0856789, 7.959e+008, 2.20591e+008, 31, 32, Complete
NVS 5400M, 18900000, 0.0478127, 0.0619383, 0.109751, 3.95293e+008, 1.72208e+008, 31, 16, Complete
NVS 5400M, 18900000, 0.095728, 0.0618849, 0.157613, 1.97434e+008, 1.19914e+008, 31, 8, Complete
NVS 5400M, 18900000, 0.189937, 0.0627444, 0.252682, 9.95066e+007, 7.47977e+007, 31, 4, Complete
NVS 5400M, 18900000, 0.00669808, 0.0624789, 0.069177, 2.8217e+009, 2.73212e+008, 15, 1024, Complete
NVS 5400M, 18900000, 0.00614995, 0.0618621, 0.0680121, 3.07319e+009, 2.77892e+008, 15, 512, Complete
NVS 5400M, 18900000, 0.00750659, 0.0618482, 0.0693548, 2.51779e+009, 2.72512e+008, 15, 256, Complete
NVS 5400M, 18900000, 0.00661357, 0.0630702, 0.0696838, 2.85776e+009, 2.71225e+008, 15, 128, Complete
NVS 5400M, 18900000, 0.0125207, 0.0605416, 0.0730623, 1.5095e+009, 2.58683e+008, 15, 64, Complete
NVS 5400M, 18900000, 0.0245316, 0.0618106, 0.0863422, 7.70434e+008, 2.18896e+008, 15, 32, Complete
NVS 5400M, 18900000, 0.0466417, 0.0620168, 0.108658, 4.05217e+008, 1.73939e+008, 15, 16, Complete
NVS 5400M, 18900000, 0.0916463, 0.0604325, 0.152079, 2.06228e+008, 1.24278e+008, 15, 8, Complete
NVS 5400M, 18900000, 0.183391, 0.064618, 0.248009, 1.03058e+008, 7.62069e+007, 15, 4, Complete
NVS 5400M, 18900000, 0.00706176, 0.061935, 0.0689967, 2.67639e+009, 2.73926e+008, 7, 1024, Complete
NVS 5400M, 18900000, 0.00800726, 0.0624438, 0.070451, 2.36036e+009, 2.68271e+008, 7, 512, Complete
NVS 5400M, 18900000, 0.00704403, 0.0616655, 0.0687096, 2.68312e+009, 2.75071e+008, 7, 256, Complete
NVS 5400M, 18900000, 0.0133368, 0.0619588, 0.0752956, 1.41713e+009, 2.51011e+008, 7, 128, Complete
NVS 5400M, 18900000, 0.0262533, 0.0621801, 0.0884334, 7.19908e+008, 2.1372e+008, 7, 64, Complete
