%time,field.O_x,field.O_y,field.O_t,field.I_t,field.Co_I_t,field.G_x,field.G_y,field.Co_gps_x,field.Co_gps_y
220,2.10744,-0.0604918,0.343537,0.134792,0.001225,2.03371,-0.157698,0.0004,0.0004
221,2.11121,-0.0591791,0.343537,0.134524,0.001225,2.03371,-0.157698,0.0004,0.0004
222,2.11967,-0.0560934,0.342572,0.134151,0.001225,2.03371,-0.157698,0.0004,0.0004
223,2.12466,-0.054282,0.342003,0.134206,0.001225,2.03371,-0.157698,0.0004,0.0004
224,2.13465,-0.0509336,0.342003,0.133812,0.001225,2.03371,-0.157698,0.0004,0.0004
225,2.1492,-0.0454354,0.34109,0.133621,0.001225,2.03371,-0.157698,0.0004,0.0004
226,2.15019,-0.0450366,0.340991,0.1336,0.001225,2.03371,-0.157698,0.0004,0.0004
227,2.16517,-0.0395397,0.340469,0.133179,0.001225,2.06509,-0.142211,0.0004,0.0004
228,2.16984,-0.0379124,0.340469,0.133047,0.001225,2.06509,-0.142211,0.0004,0.0004
229,2.18064,-0.0342926,0.340469,0.132804,0.001225,2.06509,-0.142211,0.0004,0.0004
230,2.18527,-0.0327403,0.340469,0.132779,0.001225,2.06509,-0.142211,0.0004,0.0004
231,2.19603,-0.028987,0.339327,0.13272,0.001225,2.06509,-0.142211,0.0004,0.0004
232,2.20706,-0.0252455,0.338935,0.132735,0.001225,2.06509,-0.142211,0.0004,0.0004
233,2.2112,-0.0238564,0.338935,0.132784,0.001225,2.06509,-0.142211,0.0004,0.0004
234,2.22522,-0.0190247,0.338935,0.132933,0.001225,2.06509,-0.142211,0.0004,0.0004
235,2.22617,-0.018692,0.338935,0.132962,0.001225,2.06509,-0.142211,0.0004,0.0004
236,2.24118,-0.0130175,0.338935,0.132948,0.001225,2.16858,-0.104799,0.0004,0.0004
237,2.24589,-0.0111985,0.338935,0.132925,0.001225,2.17556,-0.102274,0.0004,0.0004
238,2.25893,-0.00698117,0.338935,0.133274,0.001225,2.17556,-0.102274,0.0004,0.0004
239,2.26231,-0.00588882,0.338935,0.13323,0.001225,2.17556,-0.102274,0.0004,0.0004
240,2.27725,-0.000505739,0.33768,0.133036,0.001225,2.17556,-0.102274,0.0004,0.0004
241,2.292,0.00454866,0.337401,0.132904,0.001225,2.17556,-0.102274,0.0004,0.0004
242,2.2974,0.00637478,0.337401,0.13297,0.001225,2.17556,-0.102274,0.0004,0.0004
243,2.31454,0.0128909,0.336355,0.132675,0.001225,2.17556,-0.102274,0.0004,0.0004
244,2.3179,0.0141941,0.3361,0.132653,0.001225,2.17556,-0.102274,0.0004,0.0004
245,2.33943,0.0211584,0.335867,0.132881,0.001225,2.21402,-0.0948169,0.0001,0.0004
246,2.34417,0.0226408,0.335867,0.13293,0.001225,2.21671,-0.094295,0.0001,0.0004
247,2.35954,0.0283678,0.335867,0.132966,0.001225,2.21671,-0.094295,0.0001,0.0004
248,2.37527,0.0342307,0.335867,0.132874,0.001225,2.21671,-0.094295,0.0001,0.0004
249,2.38489,0.0378155,0.335867,0.13289,0.001225,2.21671,-0.094295,0.0001,0.0004
250,2.40558,0.0452194,0.335867,0.1326,0.001225,2.21671,-0.094295,0.0001,0.0004
251,2.41314,0.0479116,0.335867,0.132468,0.001225,2.21671,-0.094295,0.0001,0.0004
252,2.44251,0.0578028,0.334513,0.13172,0.001225,2.21671,-0.094295,0.0001,0.0004
253,2.44458,0.0584948,0.33441,0.131668,0.001225,2.21671,-0.094295,0.0001,0.0004
254,2.47582,0.0689587,0.334333,0.131043,0.001225,2.32617,-0.0563597,0.0001,0.0004
255,2.49292,0.075125,0.333564,0.130342,0.001225,2.32617,-0.0563597,0.0001,0.0004
256,2.50787,0.080519,0.332841,0.129942,0.001225,2.32617,-0.0563597,0.0001,0.0004
257,2.52852,0.0873397,0.332799,0.129283,0.001225,2.32617,-0.0563597,0.0001,0.0004
258,2.54059,0.0913101,0.332799,0.129101,0.001225,2.32617,-0.0563597,0.0001,0.0004
259,2.56362,0.0998055,0.332799,0.12875,0.001225,2.32617,-0.0563597,0.0001,0.0004
260,2.57132,0.102645,0.332799,0.128394,0.001225,2.32617,-0.0563597,0.0001,0.0004
261,2.59739,0.111556,0.331461,0.127942,0.001225,2.4591,-0.0197501,0.0001,0.0004
262,2.60238,0.113264,0.331265,0.127926,0.001225,2.48541,-0.0125053,0.0001,0.0004
263,2.63009,0.122921,0.331265,0.127308,0.001225,2.48541,-0.0125053,0.0001,0.0004
264,2.64625,0.12818,0.331265,0.127045,0.001225,2.48541,-0.0125053,0.0001,0.0004
265,2.65714,0.131725,0.331265,0.127026,0.001225,2.48541,-0.0125053,0.0001,0.0004
266,2.6764,0.138745,0.330167,0.127182,0.001225,2.48541,-0.0125053,0.0001,0.0004
267,2.68404,0.141519,0.329731,0.127121,0.001225,2.48541,-0.0125053,0.0001,0.0004
268,2.70763,0.14904,0.329731,0.127004,0.001225,2.48541,-0.0125053,0.0001,0.0004
269,2.71208,0.15046,0.329731,0.126963,0.001225,2.48541,-0.0125053,0.0001,0.0004
270,2.73711,0.159785,0.329731,0.126662,0.001225,2.6011,0.035903,0.0001,0.0004
271,2.74165,0.161305,0.329731,0.126517,0.001225,2.62412,0.0455346,0.0001,0.0004
272,2.76505,0.168921,0.329731,0.125567,0.001225,2.62412,0.0455346,0.0001,0.0004
273,2.7783,0.173549,0.328675,0.124304,0.001225,2.62412,0.0455346,0.0001,0.0004
274,2.78431,0.175634,0.328197,0.124215,0.001225,2.62412,0.0455346,0.0001,0.0004
275,2.807,0.182878,0.326956,0.124376,0.001225,2.62412,0.0455346,0.0001,0.0004
276,2.81234,0.184575,0.326663,0.124367,0.001225,2.62412,0.0455346,0.0001,0.0004
277,2.83827,0.193804,0.326663,0.122654,0.001225,2.62412,0.0455346,0.0001,0.0004
278,2.84626,0.196571,0.326354,0.121804,0.001225,2.62412,0.0455346,0.0001,0.0004
279,2.87012,0.204713,0.325129,0.118963,0.001225,2.72428,0.0816677,0.0001,0.0004
